epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.76778,4.72016,17.2298,1.07386,0,0,0,0,5.18911,9.74498,1.01518,4.287e-05,4.287e-05,4.287e-05
2,2.26865,3.70154,7.84634,0.93202,0,0,0,0,3.84658,6.22389,0.88283,9.95349e-05,9.95349e-05,9.95349e-05
3,2.70728,3.67835,5.97,0.85375,0,0,0,0,3.90787,5.92385,0.86325,0.000155634,0.000155634,0.000155634
4,3.19165,3.24174,4.9682,0.82453,0,0,0,0,3.55444,4.98344,0.78011,0.000211167,0.000211167,0.000211167
5,3.9236,2.85683,4.15947,0.81666,0,0,0,0,3.23358,4.8072,0.76559,0.000266134,0.000266134,0.000266134
6,4.3992,2.99909,3.89611,0.79502,0,0,0,0,3.57607,4.73061,0.75961,0.000320535,0.000320535,0.000320535
7,4.95493,3.14525,3.20763,0.77562,0,0,0,0,3.57607,4.73061,0.75961,0.000374371,0.000374371,0.000374371
8,5.47403,2.93263,3.69879,0.78545,0,0,0,0,3.67528,4.62045,0.77292,0.00042764,0.00042764,0.00042764
9,5.97545,3.24792,3.98861,0.74502,0,0,0,0,3.16894,4.289,0.76525,0.000480344,0.000480344,0.000480344
10,6.5137,2.78899,3.04879,0.77824,0,0,0,0,3.16894,4.289,0.76525,0.000532482,0.000532482,0.000532482
11,6.97031,2.8211,2.72141,0.76282,0,0,0,0,2.81713,4.1258,0.74832,0.000584054,0.000584054,0.000584054
12,7.47489,3.10512,3.33033,0.75872,0,0,0,0,2.81713,4.1258,0.74832,0.00063506,0.00063506,0.00063506
13,7.91353,2.98609,3.39974,0.74089,0.00372,0.00347,0.00189,0.00019,3.29024,4.19239,0.75394,0.0006855,0.0006855,0.0006855
14,8.34166,2.77265,3.1296,0.76956,0.00372,0.00347,0.00189,0.00019,3.29024,4.19239,0.75394,0.000735374,0.000735374,0.000735374
15,8.85279,2.43297,1.95067,0.80839,0.01724,0.0191,0.01129,0.00329,3.028,3.92367,0.73827,0.000784682,0.000784682,0.000784682
16,9.31301,2.5196,2.58526,0.77382,0.01724,0.0191,0.01129,0.00329,3.028,3.92367,0.73827,0.000833425,0.000833425,0.000833425
17,9.78644,2.42947,2.43558,0.77263,0.01724,0.0191,0.01129,0.00329,3.028,3.92367,0.73827,0.000881602,0.000881602,0.000881602
18,10.2658,2.67248,2.62948,0.76176,0.13152,0.21007,0.19393,0.07456,2.32401,3.38386,0.73138,0.000929212,0.000929212,0.000929212
19,10.8091,2.98062,2.65701,0.76348,0.13152,0.21007,0.19393,0.07456,2.32401,3.38386,0.73138,0.000976257,0.000976257,0.000976257
20,11.2293,3.06801,2.52733,0.76022,0.13152,0.21007,0.19393,0.07456,2.32401,3.38386,0.73138,0.00102274,0.00102274,0.00102274
21,11.6809,2.61257,2.56619,0.78194,0.13152,0.21007,0.19393,0.07456,2.32401,3.38386,0.73138,0.00106865,0.00106865,0.00106865
22,12.1019,2.53105,2.16845,0.76382,0.1459,0.30903,0.28009,0.10621,2.20745,2.7466,0.73155,0.001114,0.001114,0.001114
23,12.7049,2.51797,2.3654,0.7717,0.1459,0.30903,0.28009,0.10621,2.20745,2.7466,0.73155,0.00115878,0.00115878,0.00115878
24,13.3426,2.28089,2.01774,0.77086,0.1459,0.30903,0.28009,0.10621,2.20745,2.7466,0.73155,0.00120299,0.00120299,0.00120299
25,13.7197,2.36653,2.54911,0.78632,0.1459,0.30903,0.28009,0.10621,2.20745,2.7466,0.73155,0.00124664,0.00124664,0.00124664
26,14.1658,2.75315,2.45264,0.77001,0.12059,0.28472,0.25611,0.06346,3.01569,2.62011,0.74227,0.00125216,0.00125216,0.00125216
27,14.5507,3.16371,2.53472,0.78519,0.12059,0.28472,0.25611,0.06346,3.01569,2.62011,0.74227,0.00124509,0.00124509,0.00124509
28,14.9535,3.0622,3.07962,0.75774,0.12059,0.28472,0.25611,0.06346,3.01569,2.62011,0.74227,0.00123801,0.00123801,0.00123801
29,15.316,3.26478,3.09153,0.77859,0.12059,0.28472,0.25611,0.06346,3.01569,2.62011,0.74227,0.00123094,0.00123094,0.00123094
30,15.7713,3.20518,3.72594,0.74448,0.13403,0.30521,0.26618,0.07593,2.88813,2.52783,0.748,0.00122387,0.00122387,0.00122387
31,16.1428,2.71687,2.58235,0.79833,0.13403,0.30521,0.26618,0.07593,2.88813,2.52783,0.748,0.00121679,0.00121679,0.00121679
32,16.5466,2.71406,2.33554,0.77271,0.13403,0.30521,0.26618,0.07593,2.88813,2.52783,0.748,0.00120972,0.00120972,0.00120972
33,17.0202,2.79466,2.24834,0.797,0.13403,0.30521,0.26618,0.07593,2.88813,2.52783,0.748,0.00120265,0.00120265,0.00120265
