epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,19.7579,2.93229,2.8033,0.7373,0.35711,0.21528,0.24999,0.0706,2.88507,2.15762,0.74004,0.00112484,0.00112484,0.00112484
45,20.1472,2.73596,2.25839,0.75976,0.35711,0.21528,0.24999,0.0706,2.88507,2.15762,0.74004,0.00111776,0.00111776,0.00111776
46,20.5294,2.92369,3.31382,0.74177,0.3456,0.22396,0.26061,0.07653,2.77517,2.27145,0.73442,0.00111069,0.00111069,0.00111069
47,20.9099,2.72614,2.53928,0.75653,0.3456,0.22396,0.26061,0.07653,2.77517,2.27145,0.73442,0.00110362,0.00110362,0.00110362
48,21.3212,2.71279,2.46941,0.74707,0.3456,0.22396,0.26061,0.07653,2.77517,2.27145,0.73442,0.00109654,0.00109654,0.00109654
49,21.7027,2.86034,2.61723,0.75015,0.3456,0.22396,0.26061,0.07653,2.77517,2.27145,0.73442,0.00108947,0.00108947,0.00108947
50,22.1017,2.57064,2.24547,0.74798,0.33048,0.2691,0.29351,0.11123,2.25139,1.88531,0.72791,0.0010824,0.0010824,0.0010824
51,22.4928,2.30707,1.97545,0.7731,0.33048,0.2691,0.29351,0.11123,2.25139,1.88531,0.72791,0.00107532,0.00107532,0.00107532
52,22.8856,2.34175,1.92801,0.75544,0.33048,0.2691,0.29351,0.11123,2.25139,1.88531,0.72791,0.00106825,0.00106825,0.00106825
53,23.2728,2.60746,2.20815,0.74958,0.33048,0.2691,0.29351,0.11123,2.25139,1.88531,0.72791,0.00106118,0.00106118,0.00106118
54,23.6667,2.61509,2.32559,0.72366,0.36122,0.23046,0.2959,0.11931,2.12891,1.70848,0.72609,0.0010541,0.0010541,0.0010541
55,24.05,2.2433,2.10844,0.77434,0.36122,0.23046,0.2959,0.11931,2.12891,1.70848,0.72609,0.00104703,0.00104703,0.00104703
56,24.446,2.36432,2.02824,0.74583,0.36122,0.23046,0.2959,0.11931,2.12891,1.70848,0.72609,0.00103995,0.00103995,0.00103995
57,24.8258,2.29073,1.94751,0.76338,0.36122,0.23046,0.2959,0.11931,2.12891,1.70848,0.72609,0.00103288,0.00103288,0.00103288
58,25.4,2.30826,1.8882,0.76413,0.40361,0.23264,0.32067,0.0985,2.54804,1.7861,0.72503,0.00102581,0.00102581,0.00102581
59,25.7918,2.56203,2.13815,0.75895,0.40361,0.23264,0.32067,0.0985,2.54804,1.7861,0.72503,0.00101873,0.00101873,0.00101873
60,26.1726,2.48294,2.12892,0.75523,0.40361,0.23264,0.32067,0.0985,2.54804,1.7861,0.72503,0.00101166,0.00101166,0.00101166
61,26.5527,2.46755,1.87892,0.76729,0.40361,0.23264,0.32067,0.0985,2.54804,1.7861,0.72503,0.00100459,0.00100459,0.00100459
62,26.9576,2.54944,2.23878,0.75226,0.43501,0.2324,0.33439,0.10489,2.52841,1.77328,0.72623,0.000997513,0.000997513,0.000997513
63,27.3679,2.23604,1.68447,0.77159,0.43501,0.2324,0.33439,0.10489,2.52841,1.77328,0.72623,0.00099044,0.00099044,0.00099044
64,27.77,2.30663,1.95234,0.76218,0.43501,0.2324,0.33439,0.10489,2.52841,1.77328,0.72623,0.000983366,0.000983366,0.000983366
65,28.4266,2.29889,1.95439,0.76378,0.43501,0.2324,0.33439,0.10489,2.52841,1.77328,0.72623,0.000976293,0.000976293,0.000976293
66,28.826,2.37866,2.20486,0.7523,0.42285,0.23787,0.32083,0.12733,2.20288,1.64587,0.72663,0.000969219,0.000969219,0.000969219
67,29.24,2.46534,1.9977,0.72656,0.42285,0.23787,0.32083,0.12733,2.20288,1.64587,0.72663,0.000962146,0.000962146,0.000962146
68,29.66,2.52998,2.36599,0.72429,0.42285,0.23787,0.32083,0.12733,2.20288,1.64587,0.72663,0.000955072,0.000955072,0.000955072
69,30.0483,2.62181,2.24577,0.71172,0.42285,0.23787,0.32083,0.12733,2.20288,1.64587,0.72663,0.000947999,0.000947999,0.000947999
70,30.4998,2.14659,1.91717,0.7546,0.42195,0.25347,0.32505,0.13605,2.12053,1.62318,0.72346,0.000940925,0.000940925,0.000940925
71,30.9058,2.35562,1.82607,0.74481,0.42195,0.25347,0.32505,0.13605,2.12053,1.62318,0.72346,0.000933851,0.000933851,0.000933851
72,31.2763,2.28454,2.01544,0.76051,0.42195,0.25347,0.32505,0.13605,2.12053,1.62318,0.72346,0.000926778,0.000926778,0.000926778
73,31.6775,2.36528,2.16415,0.73447,0.42195,0.25347,0.32505,0.13605,2.12053,1.62318,0.72346,0.000919704,0.000919704,0.000919704
74,32.133,2.02031,1.76154,0.76682,0.42315,0.27083,0.33938,0.13848,2.10133,1.62557,0.72109,0.000912631,0.000912631,0.000912631
75,32.5384,1.95472,1.60578,0.76011,0.42315,0.27083,0.33938,0.13848,2.10133,1.62557,0.72109,0.000905557,0.000905557,0.000905557
76,33.1141,2.33847,2.12815,0.72245,0.42315,0.27083,0.33938,0.13848,2.10133,1.62557,0.72109,0.000898484,0.000898484,0.000898484
77,33.5142,2.17244,2.09264,0.74703,0.42315,0.27083,0.33938,0.13848,2.10133,1.62557,0.72109,0.00089141,0.00089141,0.00089141
78,33.9184,2.0591,1.84288,0.74918,0.4057,0.26143,0.35454,0.14257,2.09315,1.61779,0.72364,0.000884337,0.000884337,0.000884337
79,34.4022,2.5072,2.44405,0.71724,0.4057,0.26143,0.35454,0.14257,2.09315,1.61779,0.72364,0.000877263,0.000877263,0.000877263
80,34.7972,2.26674,2.16194,0.72839,0.4057,0.26143,0.35454,0.14257,2.09315,1.61779,0.72364,0.00087019,0.00087019,0.00087019
81,35.2691,2.02635,1.89875,0.74894,0.4057,0.26143,0.35454,0.14257,2.09315,1.61779,0.72364,0.000863116,0.000863116,0.000863116
82,35.6708,1.99098,1.92375,0.7673,0.41077,0.25574,0.33896,0.14607,2.01655,1.55759,0.72495,0.000856042,0.000856042,0.000856042
83,36.1102,2.41504,1.87362,0.71715,0.41077,0.25574,0.33896,0.14607,2.01655,1.55759,0.72495,0.000848969,0.000848969,0.000848969
84,36.4999,2.09333,1.99813,0.74233,0.41077,0.25574,0.33896,0.14607,2.01655,1.55759,0.72495,0.000841895,0.000841895,0.000841895
85,36.99,2.04886,1.71218,0.77835,0.41077,0.25574,0.33896,0.14607,2.01655,1.55759,0.72495,0.000834822,0.000834822,0.000834822
86,37.4636,2.36399,2.36086,0.70211,0.46439,0.25625,0.34584,0.15593,1.91495,1.53283,0.7196,0.000827748,0.000827748,0.000827748
87,37.8897,2.19971,2.09084,0.7295,0.46439,0.25625,0.34584,0.15593,1.91495,1.53283,0.7196,0.000820675,0.000820675,0.000820675
88,38.2928,1.93433,1.69201,0.76729,0.46439,0.25625,0.34584,0.15593,1.91495,1.53283,0.7196,0.000813601,0.000813601,0.000813601
89,38.8168,1.99344,1.52938,0.75317,0.46439,0.25625,0.34584,0.15593,1.91495,1.53283,0.7196,0.000806528,0.000806528,0.000806528
90,39.2348,2.06623,1.80137,0.75774,0.48917,0.25104,0.3606,0.16372,1.8989,1.51705,0.72011,0.000799454,0.000799454,0.000799454
91,39.6433,2.03005,1.73753,0.76882,0.48917,0.25104,0.3606,0.16372,1.8989,1.51705,0.72011,0.00079238,0.00079238,0.00079238
92,40.0386,2.11096,1.78802,0.73466,0.48917,0.25104,0.3606,0.16372,1.8989,1.51705,0.72011,0.000785307,0.000785307,0.000785307
93,40.4385,2.00742,1.74932,0.76287,0.48917,0.25104,0.3606,0.16372,1.8989,1.51705,0.72011,0.000778233,0.000778233,0.000778233
94,40.8618,2.10826,1.74162,0.73494,0.50748,0.24757,0.37158,0.16437,1.90718,1.50232,0.71937,0.00077116,0.00077116,0.00077116
95,41.3149,2.22874,1.84949,0.72287,0.50748,0.24757,0.37158,0.16437,1.90718,1.50232,0.71937,0.000764086,0.000764086,0.000764086
96,41.7478,1.92803,1.86448,0.75324,0.50748,0.24757,0.37158,0.16437,1.90718,1.50232,0.71937,0.000757013,0.000757013,0.000757013
97,42.3272,1.83562,1.60221,0.7565,0.50748,0.24757,0.37158,0.16437,1.90718,1.50232,0.71937,0.000749939,0.000749939,0.000749939
98,42.7435,1.9121,1.76112,0.76036,0.51747,0.25194,0.36374,0.15938,1.88941,1.47938,0.72017,0.000742866,0.000742866,0.000742866
99,43.1452,1.89441,1.71116,0.75054,0.51747,0.25194,0.36374,0.15938,1.88941,1.47938,0.72017,0.000735792,0.000735792,0.000735792
100,43.5567,1.88552,1.56348,0.75045,0.51747,0.25194,0.36374,0.15938,1.88941,1.47938,0.72017,0.000728719,0.000728719,0.000728719
101,43.9381,1.98321,1.7129,0.75114,0.51747,0.25194,0.36374,0.15938,1.88941,1.47938,0.72017,0.000721645,0.000721645,0.000721645
102,44.3235,2.10408,2.15821,0.72264,0.53899,0.25992,0.37222,0.15865,1.87874,1.46977,0.72039,0.000714571,0.000714571,0.000714571
