epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.10795,3.45979,65.9908,0.71064,0,0,0,0,0.34865,23.7284,0.07642,1.429e-05,1.429e-05,1.429e-05
2,1.39962,3.96844,65.9454,0.8021,0,0,0,0,0.68133,23.9569,0.14287,4.20212e-05,4.20212e-05,4.20212e-05
3,1.91685,5.50519,20.5477,1.00571,0,0,0,0,5.70692,11.4715,0.92808,6.86206e-05,6.86206e-05,6.86206e-05
4,2.2419,4.96969,14.2159,0.81232,0,0,0,0,4.68055,6.05792,0.78907,9.40882e-05,9.40882e-05,9.40882e-05
5,2.55327,4.28418,9.87371,0.76865,0,0,0,0,4.78396,5.74609,0.73621,0.000118424,0.000118424,0.000118424
6,2.85101,4.31381,6.67987,0.76726,0,0,0,0,4.72317,5.68858,0.71557,0.000141628,0.000141628,0.000141628
7,3.16992,4.35816,6.40089,0.7591,0,0,0,0,4.52777,5.52414,0.7025,0.000163701,0.000163701,0.000163701
8,3.46049,4.24333,5.77513,0.69781,0,0,0,0,4.30283,5.29315,0.69552,0.000184641,0.000184641,0.000184641
9,3.75505,4.06981,4.82756,0.73425,0,0,0,0,4.44741,5.23405,0.71254,0.00020445,0.00020445,0.00020445
10,4.05279,4.29337,5.57865,0.67682,0.00093,0.00174,0.00047,5e-05,4.57336,5.05095,0.71665,0.000223127,0.000223127,0.000223127
11,4.35898,4.06867,4.87616,0.71092,0,0,0,0,4.42167,4.82191,0.69156,0.000240672,0.000240672,0.000240672
12,4.65896,4.11799,4.49117,0.6773,0,0,0,0,4.42167,4.82191,0.69156,0.000257086,0.000257086,0.000257086
13,4.94812,4.01973,6.08547,0.68372,0.00233,0.00521,0.0012,0.00012,4.52043,4.87339,0.66132,0.000272367,0.000272367,0.000272367
14,5.27565,4.08137,4.71896,0.6864,0.00222,0.00521,0.00114,0.00034,4.76099,4.94434,0.65326,0.000286517,0.000286517,0.000286517
15,5.59177,3.75156,3.36003,0.70211,0.00222,0.00521,0.00114,0.00034,4.76099,4.94434,0.65326,0.000299536,0.000299536,0.000299536
16,6.04598,3.57592,3.43581,0.72356,0.0015,0.00347,0.00076,0.00015,4.37044,4.74323,0.65147,0.000311422,0.000311422,0.000311422
17,6.36077,3.70457,4.24603,0.66229,0,0,0,0,4.08739,4.60575,0.64988,0.000322177,0.000322177,0.000322177
18,6.63956,3.47328,2.88707,0.72766,0,0,0,0,4.08739,4.60575,0.64988,0.0003318,0.0003318,0.0003318
19,6.97491,3.79407,5.02926,0.62983,0.00227,0.00521,0.00115,0.00042,4.08372,4.5383,0.64973,0.000340291,0.000340291,0.000340291
20,7.27596,3.76637,3.14687,0.70714,0.00227,0.00521,0.00115,0.00042,4.08372,4.5383,0.64973,0.00034765,0.00034765,0.00034765
21,7.56245,3.47692,3.83711,0.70862,0.00592,0.01389,0.00306,0.00087,4.13488,4.51535,0.64853,0.000353878,0.000353878,0.000353878
22,7.86809,3.5707,3.74741,0.66807,0.00592,0.01389,0.00306,0.00087,4.13488,4.51535,0.64853,0.000358973,0.000358973,0.000358973
